Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,187,1000
2,0,2,373,1000
3,0,2,556,1000
4,0,80,661,1000
5,0,262,661,1000
6,0,339,661,0
7,0,339,661,0
8,0,339,661,0
9,0,339,661,0
10,0,339,661,0
11,0,339,661,0
12,0,339,661,0
13,0,339,661,0
14,0,339,661,0
15,0,339,661,0
16,0,339,661,0
17,0,339,661,0
18,0,339,661,0
19,0,339,661,0
20,0,339,661,0
21,1,293,706,0
22,145,293,562,0
23,147,293,560,0
24,150,293,557,0
25,150,293,557,0
26,150,293,557,0
27,150,293,557,0
28,150,293,557,0
29,150,293,557,0
30,150,293,557,0
31,150,293,557,0
32,150,293,557,0
33,150,293,557,0
